############################
SERVER SIDE STARTED
############################


Starting resend nak thread
8312.65345693# Server sent data 000000374
8312.70405602# Server sent data 000000375
8312.75460196# Server sent data 000000376
8312.80527306# Server sent data 000000377
8312.85574007# Server sent data 000000378
8312.90622902# Server sent data 000000379
8312.95733404# Server sent data 000000380
8313.00771499# Server sent data 000000381
8313.05833912# Server sent data 000000382
8313.10899901# Server sent data 000000383
8313.15951204# Server sent data 000000384
8313.21076298# Server sent data 000000385
8313.26118803# Server sent data 000000386
8313.3116591# Server sent data 000000387
8313.36286402# Server sent data 000000388
8313.41373396# Server sent data 000000389
8313.46405411# Server sent data 000000390
8313.51441598# Server sent data 000000391
8313.56531405# Server sent data 000000392
8313.61569405# Server sent data 000000393
8313.66656899# Server sent data 000000394
8313.71701193# Server sent data 000000395
8313.76743388# Server sent data 000000396
8313.818012# Server sent data 000000397
8313.86847091# Server sent data 000000398
8313.91960907# Server sent data 000000399
8313.969908# Server sent data 000000400
8314.02139401# Server sent data 000000401
8314.07214808# Server sent data 000000402
8314.12311292# Server sent data 000000403
8314.17412996# Server sent data 000000404
8314.2251029# Server sent data 000000405
8314.27659106# Server sent data 000000406
8314.32701492# Server sent data 000000407
8314.37730193# Server sent data 000000408
8314.42770791# Server sent data 000000409
8314.47821999# Server sent data 000000410
8314.52865791# Server sent data 000000411
8314.57914805# Server sent data 000000412
8314.63041902# Server sent data 000000413
8314.68081188# Server sent data 000000414
8314.7311461# Server sent data 000000415
8314.7815969# Server sent data 000000416
8314.83263898# Server sent data 000000417
8314.88301706# Server sent data 000000418
8314.93350911# Server sent data 000000419
8314.98385811# Server sent data 000000420
8315.034338# Server sent data 000000421
8315.08474588# Server sent data 000000422
8315.13546109# Server sent data 000000423
8315.1858871# Server sent data 000000424
8315.23607492# Server sent data 000000425
8315.28642297# Server sent data 000000426
8315.33692908# Server sent data 000000427
8315.3876009# Server sent data 000000428
8315.43861389# Server sent data 000000429
8315.489223# Server sent data 000000430
8315.54028606# Server sent data 000000431
8315.59067392# Server sent data 000000432
8315.64168# Server sent data 000000433
8315.69221497# Server sent data 000000434
8315.74270105# Server sent data 000000435
8315.79344606# Server sent data 000000436
8315.84397006# Server sent data 000000437
8315.89464092# Server sent data 000000438
8315.94513798# Server sent data 000000439
8315.99598789# Server sent data 000000440
8316.04632306# Server sent data 000000441
8316.09685493# Server sent data 000000442
8316.14751196# Server sent data 000000443
8316.1980989# Server sent data 000000444
8316.24857211# Server sent data 000000445
8316.298949# Server sent data 000000446
8316.3494041# Server sent data 000000447
8316.40069699# Server sent data 000000448
8316.45124888# Server sent data 000000449
8316.50166893# Server sent data 000000450
8316.55268312# Server sent data 000000451
8316.60391092# Server sent data 000000452
8316.65452695# Server sent data 000000453
8316.70497394# Server sent data 000000454
8316.75540709# Server sent data 000000455
8316.80609012# Server sent data 000000456
8316.85665894# Server sent data 000000457
